t,mmsi,mmsi2_0,lat_0,lon_0,cog_0,sog_0,abs_bearing_0,rel_bearing_0,tcpa_0,dcpa_0,c_lat_0,c_lon_0,ships_distance_0,rel_speed_0,mmsi2_1,lat_1,lon_1,cog_1,sog_1,abs_bearing_1,rel_bearing_1,tcpa_1,dcpa_1,c_lat_1,c_lon_1,ships_distance_1,rel_speed_1
2022-07-05 23:33:18,211533590,211118300.0,54.450188,10.222805,201.98071967891264,26.688486346540827,199.61012788892992,357.6294082100173,372.0,2.7170750539956803,54.40828130663183,10.193727115412955,5.549887688984881,14.184081191354869,,,,,,,,,,,,,
2022-07-05 23:33:24,211533590,211118300.0,54.449905,10.222115,201.98071967891264,26.688486346540827,199.5161911887804,357.53547150986776,372.0,2.7170750539956803,54.407998306632386,10.193037316236833,5.536590172786177,14.428870904512353,,,,,,,,,,,,,
2022-07-05 23:33:30,211533590,211118300.0,54.449604,10.221375,201.81629439002853,28.589063637523225,199.40732851320553,357.591034123177,354.0,2.7674114470842333,54.40687147508776,10.191969704023279,5.5213515118790495,16.5951697219051,,,,,,,,,,,,,
2022-07-05 23:33:36,211533590,211118300.0,54.44929,10.220595,201.612294561822,30.091237797271727,199.28572075565125,357.67342619382924,330.0,2.7119222462203023,54.40735465171251,10.192035588335878,5.504897408207343,18.195382952895,,,,,,,,,,,,,
2022-07-05 23:33:42,211533590,211118300.0,54.448965,10.219782,201.4752587886303,31.33439099582068,199.15340140303704,357.67814261440674,312.0,2.667062634989201,54.40768421270569,10.19186455381328,5.48769222462203,19.385243886282396,,,,,,,,,,,,,
2022-07-05 23:33:48,211533590,211118300.0,54.448631,10.218944,201.41737671362716,32.28497155440194,199.01150075747,357.59412404384284,300.0,2.6402046436285094,54.4077496347765,10.191378725956126,5.470355831533477,20.162323296215096,,,,,,,,,,,,,
2022-07-05 23:33:54,211533590,211118300.0,54.448268,10.21802,201.1378207076595,35.52988109615759,198.8435147781341,357.7056940704746,264.0,2.5497645788336936,54.40871163543216,10.191730069474401,5.451600971922246,22.913343387217008,,,,,,,,,,,,,
2022-07-05 23:34:00,211533590,211118300.0,54.44799,10.217324,201.4593566278728,26.822049911187555,198.7323409753765,357.27298434750367,288.0,2.1039314254859613,54.41542180678032,10.195314812821534,5.441603671706264,13.975372790244572,,,,,,,,,,,,,
2022-07-05 23:34:06,211533590,211118300.0,54.447635,10.216459,201.9936653947124,33.46038022819128,198.56348286014835,356.56981746543596,264.0,2.4013050755939527,54.41060195059297,10.190746208910635,5.4244163066954645,22.113121883150164,,,,,,,,,,,,,
2022-07-05 23:34:12,211533590,211118300.0,54.447309,10.215651,201.6565110153643,31.181077605499365,198.39710920051823,356.74059818515394,282.0,2.3938277537796973,54.4103038226636,10.190392102512329,5.4096042116630665,20.732992130142847,,,,,,,,,,,,,
2022-07-05 23:34:18,211533590,211118300.0,54.44699,10.214877,202.078071053268,29.958327200849038,198.232053139286,356.153982086018,282.0,2.299981641468683,54.41154079413716,10.1901593036694,5.396109071274298,19.975244201740473,,,,,,,,,,,,,
2022-07-05 23:34:24,211533590,211118300.0,54.446671,10.214092,201.79792091595647,30.323640352010766,198.04776612078467,356.2498452048282,276.0,2.277401187904968,54.41150036246891,10.18991223121252,5.382980561555075,21.406879917484975,,,,,,,,,,,,,
2022-07-05 23:34:30,211533590,211118300.0,54.446353,10.21329,201.3170184416784,30.876611734396867,197.84425008389172,356.52723164221334,270.0,2.267369330453564,54.41122052114576,10.189722675850899,5.369861771058315,23.010546559415513,,,,,,,,,,,,,
2022-07-05 23:34:36,211533590,211118300.0,54.446033,10.212482,201.2941070158556,31.102701459624512,197.62440026754587,356.33029325169025,258.0,2.180153887688985,54.41224662370728,10.189844223367562,5.355409287257019,24.904471601744355,,,,,,,,,,,,,
2022-07-05 23:34:42,211533590,211118300.0,54.44571,10.211665,201.26033494017204,31.44184099823609,197.39126041839666,356.13092547822464,252.0,2.1514492440604753,54.41236077625041,10.189359103135294,5.340998920086393,25.970410941015782,,,,,,,,,,,,,
2022-07-05 23:34:48,211533590,211118300.0,54.445392,10.210864,201.34138679858336,30.843287880133246,197.15441783344573,355.8130310348624,252.0,2.1104973002159824,54.41269567949692,10.18890319512757,5.328367710583153,25.543589893160057,,,,,,,,,,,,,
2022-07-05 23:34:54,211533590,211118300.0,54.445087,10.210109,201.6816009115543,29.14090248546697,196.92559885806884,355.2439979465145,258.0,2.04266252699784,54.41351586310495,10.188531461932067,5.316775917926566,24.395389231024122,,,,,,,,,,,,,
2022-07-05 23:35:00,211533590,211118300.0,54.444813,10.209456,202.43857383396156,25.340814632816077,196.72194708248003,354.2833732485185,288.0,1.9877958963282938,54.414254567324875,10.187762423048541,5.307940064794815,21.14939934367482,,,,,,,,,,,,,
2022-07-05 23:35:06,211533590,211118300.0,54.444459,10.208577,201.6211400152632,33.91258491677609,196.44109249672078,354.81995248145756,210.0,1.924347192224622,54.414704012841234,10.188303102197763,5.2936366090712745,29.840528861124824,,,,,,,,,,,,,
2022-07-05 23:35:12,211533590,211118300.0,54.444126,10.207765,201.97936766231456,31.40699181947766,196.16972113100647,354.1903534686919,222.0,1.8870210583153346,54.41502132866106,10.187571322935726,5.280880129589632,28.383961603610373,,,,,,,,,,,,,
2022-07-05 23:35:18,211533590,211118300.0,54.443801,10.206971,201.94165169540645,30.7025343951272,195.89972662062584,353.9580749252194,228.0,1.8959346652267817,54.41455105427639,10.18671519971726,5.2675,28.404583852084002,,,,,,,,,,,,,
