t,mmsi,mmsi2_0,lat_0,lon_0,cog_0,sog_0,abs_bearing_0,rel_bearing_0,tcpa_0,dcpa_0,c_lat_0,c_lon_0,ships_distance_0,rel_speed_0,mmsi2_1,lat_1,lon_1,cog_1,sog_1,abs_bearing_1,rel_bearing_1,tcpa_1,dcpa_1,c_lat_1,c_lon_1,ships_distance_1,rel_speed_1,mmsi2_2,lat_2,lon_2,cog_2,sog_2,abs_bearing_2,rel_bearing_2,tcpa_2,dcpa_2,c_lat_2,c_lon_2,ships_distance_2,rel_speed_2
2022-07-05 21:13:00,304829000,211118300,54.363923,10.162522,18.992809438681263,11.6046995764504,162.06449137991058,143.07168194122931,0,0.0,54.363923,10.162522,0.4314713822894169,18.319971995707466,246084000.0,54.363923,10.162522,18.992809438681263,11.6046995764504,17.82965642104034,358.8368469823591,348.0,1.1038725701943846,54.38128507152986,10.172780727041385,3.4087645788336935,12.386357733225129,,,,,,,,,,,,,
2022-07-05 21:13:06,304829000,211118300,54.364033,10.162832,19.252846189437207,11.775126352806112,164.60612010751902,145.3532739180818,0,0.0,54.364033,10.162832,0.4479103671706263,19.03313342240222,246084000.0,54.364033,10.162832,19.252846189437207,11.775126352806112,17.805416334468077,358.55257014503087,270.0,0.8646317494600432,54.37761074386117,10.170972834765818,3.38885475161987,13.302869683411926,,,,,,,,,,,,,
2022-07-05 21:13:12,304829000,211118300,54.364138,10.163135,18.834369169028776,11.479918428484732,166.95003917031374,148.11567000128497,0,0.0,54.364138,10.163135,0.4653158747300216,18.97352819513164,246084000.0,54.364138,10.163135,18.834369169028776,11.479918428484732,17.76374478710585,358.9293756180771,348.0,1.091998920086393,54.381329665185106,10.173201875940237,3.3713990280777537,12.195995691183255,,,,,,,,,,,,,
2022-07-05 21:13:18,304829000,211118300,54.36424,10.16344,18.22043508265898,11.513785370627671,169.1541682569249,150.9337331742659,0,0.0,54.36424,10.16344,0.4837580993520519,19.276155078153305,246084000.0,54.36424,10.16344,18.22043508265898,11.513785370627671,17.717425649821735,359.49699056716275,360.0,1.1336322894168467,54.38215158357273,10.173562059606574,3.354370950323974,12.050753761757944,,,,,,,,,,,,,
2022-07-05 21:13:24,304829000,211118300,54.364338,10.163748,17.38996764267955,11.57239667200506,171.23550713221175,153.8455394895322,0,0.0,54.364338,10.163748,0.5031706263498921,19.659056130863,246084000.0,54.364338,10.163748,17.38996764267955,11.57239667200506,17.687190238896846,0.29722259621729563,294.0,0.9269541036717063,54.379052656428975,10.171659225631446,3.3358234341252704,12.556830116441823,,,,,,,,,,,,,
2022-07-05 21:13:30,304829000,211118300,54.364436,10.164057,17.33705149705321,11.606577384269682,173.20213078952963,155.86507929247642,0,0.0,54.364436,10.164057,0.5240593952483801,20.22889991515989,246084000.0,54.364436,10.164057,17.33705149705321,11.606577384269682,17.64339198548265,0.3063404884294414,324.0,1.0265334773218142,54.38073612873583,10.172792462897457,3.318294276457883,12.268714309804883,,,,,,,,,,,,,
2022-07-05 21:13:36,304829000,211118300,54.364536,10.164369,17.509575163091995,11.730474468372687,174.97249203880415,157.46291687571215,0,0.0,54.364536,10.164369,0.5444082073434124,19.537602371489477,246084000.0,54.364536,10.164369,17.509575163091995,11.730474468372687,17.58559043707396,0.07601527398196595,372.0,1.194099352051836,54.38347887994966,10.174628668732588,3.3017176025917925,12.081224685199734,,,,,,,,,,,,,
2022-07-05 21:13:42,304829000,211118300,54.364639,10.164684,17.840872721983658,11.865369942557985,176.58747107390332,158.74659835191966,0,0.0,54.364639,10.164684,0.5644109071274298,19.047994496945993,246084000.0,54.364639,10.164684,17.840872721983658,11.865369942557985,17.544372084127076,359.7034993621434,306.0,0.9900323974082074,54.38031559154838,10.173345710152702,3.2833126349892012,12.724062440252776,,,,,,,,,,,,,
2022-07-05 21:13:48,304829000,211118300,54.364741,10.165006,17.3173748181095,12.093569400029576,178.06886516093562,160.75149034282612,0,0.0,54.364741,10.165006,0.5833952483801297,18.36245630395465,246084000.0,54.364741,10.165006,17.3173748181095,12.093569400029576,17.508089344528628,0.19071452641912856,276.0,0.9081549676025918,54.379162968209975,10.172725482783429,3.2639346652267816,13.19808917343064,,,,,,,,,,,,,
2022-07-05 21:13:54,304829000,211118300,54.364843,10.165335,16.970286521173648,12.333128748988887,179.51040694778033,162.54012042660668,0,0.0,54.364843,10.165335,0.6039422246220302,19.25690276369429,246084000.0,54.364843,10.165335,16.970286521173648,12.333128748988887,17.455194478085218,0.4849079569115702,276.0,0.9261371490280778,54.37957816058892,10.173054351874063,3.24490010799136,13.421148152715993,,,,,,,,,,,,,
2022-07-05 21:14:00,304829000,211118300,54.364945,10.16567,16.683356045384755,12.538816398467238,180.8936546356831,164.21029859029835,0,0.0,54.364945,10.16567,0.6257537796976241,19.92879694256611,246084000.0,54.364945,10.16567,16.683356045384755,12.538816398467238,17.39779005566561,0.7144340102808542,276.0,0.9415772138228942,54.379948614824535,10.173389248718689,3.2258623110151188,13.535927828570674,,,,,,,,,,,,,
2022-07-05 21:14:06,304829000,211118300,54.365048,10.166011,16.55777638609328,12.754944405437554,182.1995748234272,165.64179843733393,0,0.0,54.365048,10.166011,0.6476112311015119,19.95297456893879,246084000.0,54.365048,10.166011,16.55777638609328,12.754944405437554,17.340940911229723,0.7831645251364421,282.0,0.9790885529157667,54.38065959908881,10.173979156814804,3.2067235421166305,13.563947559345898,,,,,,,,,,,,,
2022-07-05 21:14:12,304829000,211118300,54.365154,10.166357,16.78059906307459,12.957227930321006,183.43662822866406,166.65602916558947,0,0.0,54.365154,10.166357,0.6705782937365011,20.440635296184517,246084000.0,54.365154,10.166357,16.78059906307459,12.957227930321006,17.267436842359757,0.48683777928516747,360.0,1.2757100431965442,54.3854714577975,10.176875464496835,3.189262419006479,13.012468341325782,,,,,,,,,,,,,
2022-07-05 21:14:18,304829000,211118300,54.36526,10.166713,16.334677801953546,13.300531864672196,184.6254126017662,168.29073479981264,0,0.0,54.36526,10.166713,0.6952570194384449,21.379115517729,246084000.0,54.36526,10.166713,16.334677801953546,13.300531864672196,17.193160076421634,0.8584822744680878,366.0,1.3316927645788337,54.38651839308794,10.177409585743181,3.1716819654427644,13.086042566357513,,,,,,,,,,,,,
2022-07-05 21:14:24,304829000,211118300,54.365363,10.16708,15.442648341805295,13.65014075777656,185.75249431385902,170.30984597205372,0,0.0,54.365363,10.16708,0.7190923326133909,21.05646740628106,246084000.0,54.365363,10.16708,15.442648341805295,13.65014075777656,17.143040203720943,1.700391861915648,300.0,1.1161144708423327,54.38325949767159,10.175567522474163,3.152266738660907,13.491671510137103,,,,,,,,,,,,,
2022-07-05 21:14:30,304829000,211118300,54.365465,10.16745,15.181455760696906,13.744347775054637,186.80333495578188,171.62187919508497,0,0.0,54.365465,10.16745,0.7420928725701944,20.517847847004145,246084000.0,54.365465,10.16745,15.181455760696906,13.744347775054637,17.084282818311635,1.9028270576147293,372.0,1.399030777537797,54.387926092442065,10.177913953155674,3.1340394168466523,12.971641853704808,,,,,,,,,,,,,
2022-07-05 21:14:36,304829000,211118300,54.365574,10.16782,16.170464936273618,13.811903121405622,187.78156357332045,171.61109863704684,0,0.0,54.365574,10.16782,0.7662208423326133,20.849365866263017,246084000.0,54.365574,10.16782,16.170464936273618,13.811903121405622,17.018743132299903,0.8482781960262855,390.0,1.4750809935205182,54.389141120963394,10.17955287079191,3.1166571274298054,12.62896763993405,,,,,,,,,,,,,
2022-07-05 21:14:42,304829000,211118300,54.365686,10.168192,16.50700539070175,13.910783196753938,188.69875155807404,172.1917461673723,0,0.0,54.365686,10.168192,0.7901916846652267,20.659276699331844,246084000.0,54.365686,10.168192,16.50700539070175,13.910783196753938,16.97501559678892,0.4680102060871718,384.0,1.462438444924406,54.38901076823971,10.180059652408762,3.0986452483801297,12.396182072723489,,,,,,,,,,,,,
2022-07-05 21:14:48,304829000,211118300,54.365808,10.16855,18.542962949087894,13.540147793497985,189.51131078807353,170.96834783898564,0,0.0,54.365808,10.16855,0.8133185745140389,19.626791941897064,246084000.0,54.365808,10.16855,18.542962949087894,13.540147793497985,16.956810551919716,358.4138476028318,402.0,1.4913277537796976,54.389326995009434,10.182094711366574,3.080372030237581,11.965096501043542,,,,,,,,,,,,,
2022-07-05 21:14:54,304829000,211118300,54.365936,10.168899,19.849627999732377,13.306215717804976,190.24484659053635,170.39521859080398,0,0.0,54.365936,10.168899,0.838158747300216,20.08546249916839,246084000.0,54.365936,10.168899,19.849627999732377,13.306215717804976,16.9363025260281,357.0866745262957,420.0,1.5322284017278618,54.389908125013754,10.183757279409049,3.0629438444924406,11.471456350754691,,,,,,,,,,,,,
2022-07-05 21:15:00,304829000,211118300,54.366064,10.169254,19.53972716128999,13.508493591769902,190.94376642728272,171.40403926599274,0,0.0,54.366064,10.169254,0.8640080993520518,20.631032675613252,246084000.0,54.366064,10.169254,19.53972716128999,13.508493591769902,16.916106109295356,357.37637894800537,408.0,1.5104217062634988,54.389740932375545,10.183681259135588,3.045902807775378,11.214632338443927,,,,,,,,,,,,,
