t,mmsi,mmsi2_0,lat_0,lon_0,cog_0,sog_0,abs_bearing_0,rel_bearing_0,tcpa_0,dcpa_0,c_lat_0,c_lon_0,ships_distance_0,rel_speed_0,mmsi2_1,lat_1,lon_1,cog_1,sog_1,abs_bearing_1,rel_bearing_1,tcpa_1,dcpa_1,c_lat_1,c_lon_1,ships_distance_1,rel_speed_1,mmsi2_2,lat_2,lon_2,cog_2,sog_2,abs_bearing_2,rel_bearing_2,tcpa_2,dcpa_2,c_lat_2,c_lon_2,ships_distance_2,rel_speed_2,mmsi2_3,lat_3,lon_3,cog_3,sog_3,abs_bearing_3,rel_bearing_3,tcpa_3,dcpa_3,c_lat_3,c_lon_3,ships_distance_3,rel_speed_3,mmsi2_4,lat_4,lon_4,cog_4,sog_4,abs_bearing_4,rel_bearing_4,tcpa_4,dcpa_4,c_lat_4,c_lon_4,ships_distance_4,rel_speed_4,mmsi2_5,lat_5,lon_5,cog_5,sog_5,abs_bearing_5,rel_bearing_5,tcpa_5,dcpa_5,c_lat_5,c_lon_5,ships_distance_5,rel_speed_5
2022-07-05 20:29:00,511100730,211546740,54.396581,10.198063,250.47247374456623,7.979220059809534,223.87834387337605,333.40587012880985,12,0.013339632829373652,54.396506962506486,10.197704420479644,2.6265588552915764,15.986239385152622,211118300,54.396581,10.198063,250.47247374456623,7.979220059809534,22.787973943249426,132.3155001986832,150,0.3201538876889849,54.39480410015626,10.189457270111644,2.6398180345572357,33.90099375159346,246084000.0,54.396581,10.198063,250.47247374456623,7.979220059809534,1.1593043914205055,110.68683064685428,150.0,0.3201538876889849,54.39480410015626,10.189457270111644,2.8360529157667385,5.415281545593687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:29:06,511100730,211118300,54.396371,10.197988,250.05541572596516,7.924376603989608,22.184395812240894,132.12898008627573,144,0.30470194384449245,54.394645178048016,10.189818925226998,2.598325593952484,45.39012147806643,211546740,54.396371,10.197988,250.05541572596516,7.924376603989608,223.81525385846982,333.7598381325047,18,0.026495680345572356,54.39622092852588,10.197277632030064,2.6118839092872568,13.518046489990436,246084000.0,54.396371,10.197988,250.05541572596516,7.924376603989608,1.0970804265442666,111.0416647005791,144.0,0.30470194384449245,54.394645178048016,10.189818925226998,2.8432057235421166,5.220514224039249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:29:12,511100730,211118300,54.396161,10.197913,250.0554200516137,7.924378240796414,21.70613798269102,131.6507179310773,144,0.30470194384449245,54.39443517805069,10.18974396513006,2.5737397408207343,31.12861047590412,211546740,54.396161,10.197913,250.0554200516137,7.924378240796414,223.67711428181312,333.6216942301994,12,0.013247840172786178,54.39608596426306,10.19755781742522,2.5956571274298055,16.694149419895187,246084000.0,54.396161,10.197913,250.0554200516137,7.924378240796414,1.038535325556154,110.98311527394245,144.0,0.30470194384449245,54.39443517805069,10.18974396513006,2.8507861771058316,5.3273136405451105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:29:18,511100730,211118300,54.39595,10.197837,249.89885207680865,7.969957399847816,21.039929438052468,131.14107736124382,138,0.29312958963282937,54.39427722238833,10.189986054616524,2.54375,40.79197309629921,211546740,54.39595,10.197837,249.89885207680865,7.969957399847816,223.49218754105863,333.59333546425,12,0.013323974082073434,54.395873964653994,10.197480131901738,2.578268898488121,18.8813121177369,246084000.0,54.39595,10.197837,249.89885207680865,7.969957399847816,0.9844094835977444,111.08555740678909,138.0,0.29312958963282937,54.39427722238833,10.189986054616524,2.8586733261339092,5.370056160287856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:29:24,511100730,211118300,54.395739,10.197759,249.4137473971417,7.994732869977599,20.163041673293492,130.7492942761518,138,0.294036717062635,54.39402226355056,10.189908378065299,2.51511717062635,48.00442644196721,211546740,54.395739,10.197759,249.4137473971417,7.994732869977599,223.35084722932558,333.9370998321839,12,0.013365550755939525,54.395660966525014,10.197402146421814,2.5612796976241903,17.306148546442287,246084000.0,54.395739,10.197759,249.4137473971417,7.994732869977599,0.9388838433862929,111.5251364462446,138.0,0.294036717062635,54.39402226355056,10.189908378065299,2.866870410367171,5.335041059423503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:29:30,511100730,211118300,54.395528,10.197681,249.4137520153285,7.994734572616247,19.338689256978114,129.92493724164962,138,0.294036717062635,54.39381126355339,10.189830416530283,2.496409827213823,41.29288422755659,211546740,54.395528,10.197681,249.4137520153285,7.994734572616247,223.1530271019508,333.73927508662234,12,0.013365550755939525,54.395449966525135,10.197324148170312,2.5425291576673867,20.204603606855194,246084000.0,54.395528,10.197681,249.4137520153285,7.994734572616247,0.8852969357552638,111.47154492042677,138.0,0.294036717062635,54.39381126355339,10.189830416530283,2.874882289416847,5.431558978913767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:29:36,511100730,211118300,54.395316,10.197601,249.0224287130356,8.053237361214276,18.295734553315924,129.27330584028033,138,0.2961857451403888,54.39355529649986,10.189713484622633,2.4755113390928725,50.79075787991813,211546740,54.395316,10.197601,249.0224287130356,8.053237361214276,222.94654247656683,333.92411376353124,18,0.026926025917926567,54.39515593604541,10.196883939160186,2.5234109071274298,20.674637466475932,246084000.0,54.395316,10.197601,249.0224287130356,8.053237361214276,0.8236712208559993,111.8012425078204,138.0,0.2961857451403888,54.39355529649986,10.189713484622633,2.882830993520518,5.620834552263451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:29:42,511100730,211118300,54.395105,10.197521,248.93171839279265,8.020075752842125,17.3758742810345,128.44415588824185,138,0.2949654427645788,54.39334430868871,10.189670782199928,2.4630577753779694,42.4914334606144,211546740,54.395105,10.197521,248.93171839279265,8.020075752842125,222.7710122662845,333.83929387349184,30,0.05363012958963283,54.394784874306986,10.196093662615029,2.504883909287257,19.296844827456297,246084000.0,54.395105,10.197521,248.93171839279265,8.020075752842125,0.7705869653698301,111.83886857257718,138.0,0.2949654427645788,54.39334430868871,10.189670782199928,2.891268898488121,5.649261720857099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:29:48,511100730,211118300,54.394893,10.197439,248.5451658963376,8.07903090006128,16.221614732030616,127.67644883569301,132,0.2836241900647948,54.393170374636924,10.189910352578586,2.4494843412526994,52.45672885017013,211546740,54.394893,10.197439,248.5451658963376,8.07903090006128,222.61150789376578,334.06634199742814,60,0.12155345572354212,54.39415473198717,10.194212398113702,2.4867969762419007,18.470904545307608,246084000.0,54.394893,10.197439,248.5451658963376,8.07903090006128,0.7178115508527867,112.17264565451518,132.0,0.2836241900647948,54.393170374636924,10.189910352578586,2.899709503239741,5.649098360863325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:29:54,511100730,211118300,54.394682,10.197357,248.4527898290465,8.045975610540955,15.11421830316283,126.66142847411632,132,0.282463282937365,54.39295938699932,10.189863955046189,2.440212203023758,49.13386543395642,211546740,54.394682,10.197357,248.4527898290465,8.045975610540955,222.4546630459332,334.0018732168867,66,0.13450647948164146,54.393861708094825,10.193788844119943,2.469170626349892,17.99405995854741,246084000.0,54.394682,10.197357,248.4527898290465,8.045975610540955,0.6523783789859863,112.19958854993948,132.0,0.282463282937365,54.39295938699932,10.189863955046189,2.9074838012958963,5.67315515591061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:30:00,511100730,211118300,54.394471,10.197273,247.976997456234,8.072426953789513,14.154246032854815,126.17724857662083,126,0.2698936285097192,54.39279046447302,10.190137062576634,2.4323380129589633,42.447285388630554,211546740,54.394471,10.197273,247.976997456234,8.072426953789513,222.28092630247275,334.30392884623876,66,0.13494654427645789,54.39363073223643,10.193704994752986,2.451886609071274,18.134120979345667,246084000.0,54.394471,10.197273,247.976997456234,8.072426953789513,0.592764966388927,112.61576751015494,126.0,0.2698936285097192,54.39279046447302,10.190137062576634,2.915445464362851,5.60062346127375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:30:06,511100730,211118300,54.394259,10.197187,247.5999843126434,8.132265987774193,13.088305945937122,125.48832163329374,126,0.27189146868250536,54.3925385031821,10.190017495634226,2.422619870410367,47.22445041460334,211546740,54.394259,10.197187,247.5999843126434,8.132265987774193,222.08026025101148,334.4802759383681,66,0.135945464362851,54.39339875159099,10.193602210237385,2.4353066954643627,18.28553771107881,246084000.0,54.394259,10.197187,247.5999843126434,8.132265987774193,0.5430094708207207,112.94302515817733,126.0,0.27189146868250536,54.3925385031821,10.190017495634226,2.923835313174946,5.568014986036597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:30:12,511100730,211118300,54.394048,10.197102,247.7402980523725,8.085861175657268,12.026817674131564,124.28651962175906,126,0.27034071274298055,54.392347489983216,10.189966267477068,2.412755939524838,46.89743934524954,211546740,54.394048,10.197102,247.7402980523725,8.085861175657268,221.79834783118946,334.05804977881695,54,0.1081366090712743,54.3933677959932,10.194247671501488,2.4187769978401725,20.54179021836252,246084000.0,54.394048,10.197102,247.7402980523725,8.085861175657268,0.4887672136539436,112.74846916128143,126.0,0.27034071274298055,54.392347489983216,10.189966267477068,2.93210475161987,5.623346329880426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:30:18,511100730,211118300,54.393839,10.197017,247.5483522242146,8.02014014843026,10.963527228971202,123.4151750047566,120,0.2547348812095032,54.39222354031323,10.190302437484869,2.4035966522678187,46.64660756963164,211546740,54.393839,10.197017,247.5483522242146,8.02014014843026,221.60154723748073,334.05319501326613,84,0.174292656587473,54.392733685477396,10.192422797087204,2.405290496760259,15.743820490384005,246084000.0,54.393839,10.197017,247.5483522242146,8.02014014843026,0.43688662883289453,112.8885344046183,120.0,0.2547348812095032,54.39222354031323,10.190302437484869,2.940317494600432,5.540121956016768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:30:24,511100730,211118300,54.393632,10.196932,247.35324274234856,7.954509739772206,9.814967091145434,122.46172434879688,114,0.23935205183585315,54.39210158857535,10.190631829917837,2.3899508639308857,50.91833706725134,211546740,54.393632,10.196932,247.35324274234856,7.954509739772206,221.3500216941755,333.99677895182697,78,0.15956803455723542,54.39261172571684,10.192731860501835,2.392145788336933,17.067015531813787,246084000.0,54.393632,10.196932,247.35324274234856,7.954509739772206,0.39072465886488317,113.03748191651633,114.0,0.23935205183585315,54.39210158857535,10.190631829917837,2.9486549676025917,5.472495931285131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:30:30,511100730,211118300,54.39343,10.196843,245.88363437822863,7.847991409236087,8.871101211974349,122.98746683374571,114,0.23613660907127432,54.39182776391598,10.190695786281086,2.3792170626349893,41.4916035208172,211546740,54.39343,10.196843,245.88363437822863,7.847991409236087,221.08020841567082,335.1965740374422,78,0.15742440604751617,54.39236184261059,10.192744830849179,2.380000539956803,16.871554003726196,246084000.0,54.39343,10.196843,245.88363437822863,7.847991409236087,0.34149154257602277,114.45785716434739,114.0,0.23613660907127432,54.39182776391598,10.190695786281086,2.9564524838012955,5.269676605738203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:30:36,511100730,211546740,54.39323,10.196754,245.6703250135086,7.78317602463207,220.86500173058198,335.1946767170734,102,0.20816414686825052,54.39180581599097,10.191344021705769,2.3690820734341256,14.29548900218294,211118300,54.39323,10.196754,245.6703250135086,7.78317602463207,7.792007082967075,122.12168206945847,108,0.2211744060475162,54.391716804490414,10.191005904297143,2.369745140388769,46.678357780416746,246084000.0,54.39323,10.196754,245.6703250135086,7.78317602463207,0.2864581765021512,114.61613316299355,108.0,0.2211744060475162,54.391716804490414,10.191005904297143,2.9638898488120953,5.252896414736499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:30:42,511100730,211546740,54.393028,10.19667,247.0952365589212,7.77690622187743,220.6371325943863,333.54189603546513,102,0.20800539956803454,54.391683666847655,10.191205295489397,2.3590874730021603,14.001376634385108,211118300,54.393028,10.19667,247.0952365589212,7.77690622187743,6.662851876456273,119.56761531753509,102,0.20800539956803454,54.391683666847655,10.191205295489397,2.367697084233261,47.66575275053309,246084000.0,54.393028,10.19667,247.0952365589212,7.77690622187743,0.2377411818426367,113.14250462292145,102.0,0.20800539956803454,54.391683666847655,10.191205295489397,2.9718120950323974,5.332567961716973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:30:48,511100730,211546740,54.39282,10.196596,250.1261889112088,7.845469965371372,220.41812091130151,330.29193200009274,78,0.15739200863930886,54.39193157238558,10.19237474801298,2.353215442764579,10.964570699472787,211118300,54.39282,10.196596,250.1261889112088,7.845469965371372,5.278498656182023,115.15230974497322,102,0.20985637149028077,54.391635429847476,10.190967684328179,2.3683552915766737,58.24171117802775,246084000.0,54.39282,10.196596,250.1261889112088,7.845469965371372,0.18051174012606452,110.05432282891726,102.0,0.20985637149028077,54.391635429847476,10.190967684328179,2.9799751619870407,5.691561196459776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:30:54,511100730,211546740,54.3926,10.196536,254.511765170982,8.100285348177492,220.39639982272388,325.88463465174186,24,0.04063012958963283,54.39241986131607,10.195419479729127,2.347881749460043,4.725594567485899,211118300,54.3926,10.196536,254.511765170982,8.100285348177492,4.316456070321578,109.80469089933959,96,0.20315064794816415,54.39169930658035,10.19095344766334,2.3743590712742977,40.42847855810699,246084000.0,54.3926,10.196536,254.511765170982,8.100285348177492,0.10343942498218439,105.5916742540002,96.0,0.20315064794816415,54.39169930658035,10.19095344766334,2.9882597192224627,6.3840732319939715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:31:00,511100730,211546740,54.39237,10.196485,257.3034197913392,8.366752540543947,220.43296117112524,323.129541379786,30,0.05595842332613391,54.392165811952474,10.194928415518065,2.3441841252699787,2.58314055179901,211118300,54.39237,10.196485,257.3034197913392,8.366752540543947,2.9918043284084206,105.68838453706923,90,0.19585475161987043,54.391655341833776,10.191036988202207,2.3813250539956803,55.982991433181496,246084000.0,54.39237,10.196485,257.3034197913392,8.366752540543947,0.018082077056021717,102.71466228571683,90.0,0.19585475161987043,54.391655341833776,10.191036988202207,2.997090172786177,6.9313245712094576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:31:06,511100730,211546740,54.392134,10.196439,258.7979419684946,8.538336463152364,220.56235733796996,321.76441536947533,0,0.0,54.392134,10.196439,2.3425361771058317,4.103714769810424,211118300,54.392134,10.196439,258.7979419684946,8.538336463152364,1.916719315448404,103.11877734695378,84,0.18559935205183584,54.39153540678301,10.19124782809492,2.394924406047516,46.09461657375285,246084000.0,54.392134,10.196439,258.7979419684946,8.538336463152364,359.9325704827189,101.13462851422429,84.0,0.18559935205183584,54.39153540678301,10.19124782809492,3.0064681425485964,7.198722440623702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:31:12,511100730,211546740,54.3919,10.196394,258.9440874929372,8.46178482037777,220.8149975550505,321.87091006211335,0,0.0,54.3919,10.196394,2.342374190064795,8.87110530505946,211118300,54.3919,10.196394,258.9440874929372,8.46178482037777,0.744522589381063,101.80043509644389,78,0.16978671706263498,54.391359460908326,10.191642751236378,2.4162057235421166,51.524311310533946,246084000.0,54.3919,10.196394,258.9440874929372,8.46178482037777,359.8709179825521,100.92683048961493,78.0,0.16978671706263498,54.391359460908326,10.191642751236378,3.01663120950324,6.869679884133709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:31:18,511100730,211546740,54.391675,10.196347,258.01732825625567,8.16286492716958,221.10461437130473,323.0872861150491,0,0.0,54.391675,10.196347,2.339348272138229,9.246621019241395,211118300,54.391675,10.196347,258.01732825625567,8.16286492716958,359.62954528490064,101.61221702864498,78,0.163786717062635,54.39111046087567,10.191778704445992,2.444181425485961,51.02859211262613,246084000.0,54.391675,10.196347,258.01732825625567,8.16286492716958,359.8069808396197,101.78965258336405,78.0,0.163786717062635,54.39111046087567,10.191778704445992,3.0260772138228935,6.575048545086269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:31:24,511100730,211546740,54.391461,10.196301,257.67993360367944,7.773521074610568,221.48087476665816,323.8009411629787,0,0.0,54.391461,10.196301,2.338510799136069,12.88553386062369,211118300,54.391461,10.196301,257.67993360367944,7.773521074610568,358.51294084827475,100.83300724459531,72,0.14297570194384449,54.39095452468345,10.192318202833713,2.4776625269978405,53.20082746597359,246084000.0,54.391461,10.196301,257.67993360367944,7.773521074610568,359.71750824547917,102.03757464179972,72.0,0.14297570194384449,54.39095452468345,10.192318202833713,3.0339703023758102,6.743400010292155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 20:31:30,511100730,211546740,54.391252,10.196257,257.9261468405001,7.584936355522444,221.8872562268119,323.9611093863118,0,0.0,54.391252,10.196257,2.3362019438444928,13.378513982921698,211118300,54.391252,10.196257,257.9261468405001,7.584936355522444,357.6779839057635,99.75183706526337,72,0.13950809935205186,54.390767539802034,10.192367232326198,2.5080388768898487,41.84655666986001,246084000.0,54.391252,10.196257,257.9261468405001,7.584936355522444,359.63045016858314,101.70430332808303,72.0,0.13950809935205186,54.390767539802034,10.192367232326198,3.0416301295896324,6.567813634309548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
