t,mmsi,mmsi2_0,lat_0,lon_0,cog_0,sog_0,abs_bearing_0,rel_bearing_0,tcpa_0,dcpa_0,c_lat_0,c_lon_0,ships_distance_0,rel_speed_0,mmsi2_1,lat_1,lon_1,cog_1,sog_1,abs_bearing_1,rel_bearing_1,tcpa_1,dcpa_1,c_lat_1,c_lon_1,ships_distance_1,rel_speed_1,mmsi2_2,lat_2,lon_2,cog_2,sog_2,abs_bearing_2,rel_bearing_2,tcpa_2,dcpa_2,c_lat_2,c_lon_2,ships_distance_2,rel_speed_2,mmsi2_3,lat_3,lon_3,cog_3,sog_3,abs_bearing_3,rel_bearing_3,tcpa_3,dcpa_3,c_lat_3,c_lon_3,ships_distance_3,rel_speed_3,mmsi2_4,lat_4,lon_4,cog_4,sog_4,abs_bearing_4,rel_bearing_4,tcpa_4,dcpa_4,c_lat_4,c_lon_4,ships_distance_4,rel_speed_4,mmsi2_5,lat_5,lon_5,cog_5,sog_5,abs_bearing_5,rel_bearing_5,tcpa_5,dcpa_5,c_lat_5,c_lon_5,ships_distance_5,rel_speed_5,mmsi2_6,lat_6,lon_6,cog_6,sog_6,abs_bearing_6,rel_bearing_6,tcpa_6,dcpa_6,c_lat_6,c_lon_6,ships_distance_6,rel_speed_6,mmsi2_7,lat_7,lon_7,cog_7,sog_7,abs_bearing_7,rel_bearing_7,tcpa_7,dcpa_7,c_lat_7,c_lon_7,ships_distance_7,rel_speed_7,mmsi2_8,lat_8,lon_8,cog_8,sog_8,abs_bearing_8,rel_bearing_8,tcpa_8,dcpa_8,c_lat_8,c_lon_8,ships_distance_8,rel_speed_8,mmsi2_9,lat_9,lon_9,cog_9,sog_9,abs_bearing_9,rel_bearing_9,tcpa_9,dcpa_9,c_lat_9,c_lon_9,ships_distance_9,rel_speed_9
2022-07-05 18:24:48,211806880,246084000,54.413662,10.205867,242.53832295230572,6.951393790911501,213.36761356333656,330.82929061103084,144,0.26723110151187907,54.41161530678655,10.19909990108961,0.3666630669546436,8.540615779743428,261032070,54.413662,10.205867,242.53832295230572,6.951393790911501,313.30282884189904,70.76450588959332,108,0.19751889848812096,54.41214922675521,10.200865198673418,1.4604908207343414,6.034387787867062,211231520,54.413662,10.205867,242.53832295230572,6.951393790911501,201.94139953312478,319.40307658081906,324,0.6157937365010799,54.408945706943854,10.190273757961538,2.8996182505399566,3.2765350689949035,245546000,54.413662,10.205867,242.53832295230572,6.951393790911501,202.34740950065265,319.80908654834695,168,0.31370626349892006,54.41125936014082,10.197923048804377,2.9283180345572353,3.865818488976323,211284350.0,54.413662,10.205867,242.53832295230572,6.951393790911501,211.18586695305004,328.64754400074435,0.0,0.0,54.413662,10.205867,3.3880205183585312,5.600146303647739,211118300.0,54.413662,10.205867,242.53832295230572,6.951393790911501,200.21070993879457,317.67238698648885,72.0,0.1278061555075594,54.4126831467239,10.202630519245043,5.05989848812095,2.669944427674098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 18:24:54,211806880,246084000,54.413485,10.205769,240.6390602135904,7.197911533008152,213.7985285732906,333.1594683597002,138,0.2646609071274298,54.41132971124794,10.199185741411092,0.3539611231101512,8.640506812063578,261032070,54.413485,10.205769,240.6390602135904,7.197911533008152,313.30502369927257,72.66596348568217,96,0.1804503239740821,54.41201548494169,10.201280377061279,1.4680588552915765,6.380990538825935,211231520,54.413485,10.205769,240.6390602135904,7.197911533008152,201.98641951946786,321.3473593058775,312,0.6135313174946004,54.40848864880305,10.190508338334858,2.8954811015118787,2.829305786620728,245546000,54.413485,10.205769,240.6390602135904,7.197911533008152,202.41237570827641,321.773315494686,312,0.6135313174946004,54.40848864880305,10.190508338334858,2.922663606911447,3.9449646750305023,211284350.0,54.413485,10.205769,240.6390602135904,7.197911533008152,211.30336542985015,330.6643052162598,0.0,0.0,54.413485,10.205769,3.386254859611231,5.94187885862563,211118300.0,54.413485,10.205769,240.6390602135904,7.197911533008152,200.1972571371819,319.5581969235915,72.0,0.1323304535637149,54.41240735562389,10.202477327448054,5.056836933045355,2.6594251896486214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 18:25:00,211806880,246084000,54.413307,10.20566,238.1099724819336,7.428405520038108,214.22255702570357,336.11258454376997,132,0.2606976241900648,54.41101932995264,10.19934209944529,0.3411231101511879,8.805445542338214,211231520,54.413307,10.20566,238.1099724819336,7.428405520038108,202.03767061043084,323.92769812849724,306,0.6207084233261339,54.407860166554954,10.190617959098175,2.8894605831533475,3.871521570597314,245546000,54.413307,10.20566,238.1099724819336,7.428405520038108,202.47743743318702,324.3674649512534,294,0.5958801295896328,54.40807803989268,10.191219602371874,2.9173995680345572,3.7756610831642874,211284350,54.413307,10.20566,238.1099724819336,7.428405520038108,211.41428015046932,333.3043076685357,0,0.0,54.413307,10.20566,3.384613930885529,5.604214894405251,211118300.0,54.413307,10.20566,238.1099724819336,7.428405520038108,200.1787299830405,322.0687575011069,72.0,0.13655561555075593,54.41210869664179,10.202350579555619,5.0543801295896325,2.650261707287163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 18:25:06,211806880,246084000,54.413129,10.205547,237.17650044714665,7.504766927996789,214.66872578668642,337.4922253395398,126,0.25082721382289414,54.41087052922543,10.19953054908783,0.3283347732181425,8.797824751057489,211231520,54.413129,10.205547,237.17650044714665,7.504766927996789,202.08836742985696,324.9118669827103,300,0.6145264578833693,54.4075957466034,10.190807283862345,2.8846592872570196,3.245825452729575,245546000,54.413129,10.205547,237.17650044714665,7.504766927996789,202.54456486537813,325.3680644182315,150,0.3009924406047516,54.41041883507059,10.198327298672172,2.912373110151188,3.7294790811699663,211284350,54.413129,10.205547,237.17650044714665,7.504766927996789,211.51849085331477,334.3419904061681,0,0.0,54.413129,10.205547,3.383373650107991,5.323417637389545,211118300.0,54.413129,10.205547,237.17650044714665,7.504766927996789,200.16263054279327,322.9861300956466,84.0,0.16303779697624188,54.41166099399643,10.201636269210548,5.0507230021598275,3.1744271148395957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 18:25:12,211806880,246084000,54.412953,10.205437,237.5825361943465,7.387173960119901,215.16968101785918,337.5871448235127,126,0.24690064794816413,54.410754396800456,10.199487920187071,0.31578725701943844,8.614515164726539,211231520,54.412953,10.205437,237.5825361943465,7.387173960119901,202.16939273800097,324.58685654365445,0,0.0,54.412953,10.205437,2.879113390928726,4.295013665193264,245546000,54.412953,10.205437,237.5825361943465,7.387173960119901,202.61466124962845,325.032125055282,24,0.03703509719222462,54.41262320952002,10.2045446176914,2.9074740820734344,3.7604718473160976,211284350,54.412953,10.205437,237.5825361943465,7.387173960119901,211.6242160685361,334.04167987418964,0,0.0,54.412953,10.205437,3.3824087473002162,5.466173416359891,211118300.0,54.412953,10.205437,237.5825361943465,7.387173960119901,200.1499759038888,322.5674397095423,102.0,0.19752051835853135,54.411194117440324,10.200677710629888,5.046537796976242,3.2972334411892166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 18:25:18,211806880,246084000,54.41278,10.205337,239.5731571585292,7.110162773862385,215.75916733321841,336.1860101746892,120,0.22577591792656587,54.41088082523143,10.199780595486336,0.30351943844492446,8.382700126025092,211231520,54.41278,10.205337,239.5731571585292,7.110162773862385,202.2307836580982,322.657626499569,306,0.5941468682505399,54.40778217166266,10.190715435334317,2.8740739740820733,3.57645289689948,245546000,54.41278,10.205337,239.5731571585292,7.110162773862385,202.69238865574238,323.11923149721315,0,0.0,54.41278,10.205337,2.9028655507559393,3.8995620328353002,211284350,54.41278,10.205337,239.5731571585292,7.110162773862385,211.739613572745,332.16645641421576,0,0.0,54.41278,10.205337,3.3818050755939524,6.0847754441238155,211118300.0,54.41278,10.205337,239.5731571585292,7.110162773862385,200.14572529291314,320.5725681343839,102.0,0.1901268898488121,54.411180694931694,10.200657905404702,5.043392548596112,2.2230137966764683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 18:25:24,211806880,246084000,54.412613,10.205248,241.56442159995595,6.731580798577444,216.39793447264222,334.83351287268624,120,0.21376889848812095,54.41092240818971,10.199883274587975,0.2915836933045356,8.165686942369454,211231520,54.412613,10.205248,241.56442159995595,6.731580798577444,202.2978277743202,320.7334061743643,0,0.0,54.412613,10.205248,2.8696690064794814,3.484698753830409,245546000,54.412613,10.205248,241.56442159995595,6.731580798577444,202.77236156927597,321.20793996932,0,0.0,54.412613,10.205248,2.898565334773218,3.8895199837557675,211284350,54.412613,10.205248,241.56442159995595,6.731580798577444,211.86834261763536,330.3039210176794,0,0.0,54.412613,10.205248,3.382480561555076,7.23659162439281,211118300.0,54.412613,10.205248,241.56442159995595,6.731580798577444,200.1520548129053,318.58763321294936,120.0,0.21376889848812095,54.41092240818971,10.199883274587975,5.040972462203024,1.4904860174685486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 18:25:30,211806880,246084000,54.41245,10.205165,242.6435213432637,6.505818355229197,217.0981353410661,334.4546139978024,120,0.2066069114470842,54.41087322136629,10.19992825409285,0.2801652267818575,7.812999953726577,211231520,54.41245,10.205165,242.6435213432637,6.505818355229197,202.37736224991755,319.7338409066539,0,0.0,54.41245,10.205165,2.865065334773218,3.935856468861885,245546000,54.41245,10.205165,242.6435213432637,6.505818355229197,202.85175098133638,320.2082296380727,0,0.0,54.41245,10.205165,2.894188444924406,3.881501359101364,211284350,54.41245,10.205165,242.6435213432637,6.505818355229197,211.99873736926872,329.355216026005,0,0.0,54.41245,10.205165,3.382811015118791,7.196590534981006,211118300.0,54.41245,10.205165,242.6435213432637,6.505818355229197,200.1702492978975,317.52672795463377,0.0,0.0,54.41245,10.205165,5.038869870410367,1.6889974729269237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 18:25:36,211806880,246084000,54.412288,10.205086,243.64191459721923,6.409684447256901,217.86952605805413,334.2276114608349,120,0.20356047516198703,54.410787073879305,10.199880921746725,0.26929265658747303,7.445530408576469,211231520,54.412288,10.205086,243.64191459721923,6.409684447256901,202.4565356749146,318.8146210776954,0,0.0,54.412288,10.205086,2.8609098272138227,3.801744866816622,245546000,54.412288,10.205086,243.64191459721923,6.409684447256901,202.9338767209713,319.2919621237521,0,0.0,54.412288,10.205086,2.889609071274298,4.021287026335229,211284350,54.412288,10.205086,243.64191459721923,6.409684447256901,212.11474369064547,328.47282909342624,0,0.0,54.412288,10.205086,3.3802154427645785,5.673457319133963,211118300.0,54.412288,10.205086,243.64191459721923,6.409684447256901,200.19418099394466,316.55226639672543,0.0,0.0,54.412288,10.205086,5.036825053995681,2.0291868805350552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 18:25:42,211806880,246084000,54.412125,10.205007,243.781927048723,6.44155275019871,218.7435653060753,334.9616382573523,114,0.1938061555075594,54.4107030520494,10.20004538550072,0.2581474082073434,7.66563093009843,211231520,54.412125,10.205007,243.781927048723,6.44155275019871,202.5346394345438,318.7527123858208,0,0.0,54.412125,10.205007,2.8567327213822895,3.7626381413849614,245546000,54.412125,10.205007,243.781927048723,6.44155275019871,203.01877023371634,319.23684318499335,0,0.0,54.412125,10.205007,2.884828293736501,4.161176264255535,211284350,54.412125,10.205007,243.781927048723,6.44155275019871,212.27416010641085,328.4922330576878,0,0.0,54.412125,10.205007,3.3793822894168466,8.369693640806979,211118300.0,54.412125,10.205007,243.781927048723,6.44155275019871,200.22221715059695,316.440290101874,0.0,0.0,54.412125,10.205007,5.03472030237581,2.323913245433757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 18:25:48,211806880,246084000,54.411958,10.204927,244.04587993838825,6.584915968089625,219.74611573617545,335.7002357977872,102,0.17610799136069114,54.410678016508605,10.200408350144665,0.24669924406047516,7.916879142223148,211231520,54.411958,10.204927,244.04587993838825,6.584915968089625,202.61342932427692,318.5675493858887,0,0.0,54.411958,10.204927,2.852049676025918,3.915580743775481,245546000,54.411958,10.204927,244.04587993838825,6.584915968089625,203.1056488707744,319.05976893238613,0,0.0,54.411958,10.204927,2.8797634989200867,4.297522320870437,211284350,54.411958,10.204927,244.04587993838825,6.584915968089625,212.4270698695429,328.3811899311546,0,0.0,54.411958,10.204927,3.376763498920086,7.57252390060167,211118300.0,54.411958,10.204927,244.04587993838825,6.584915968089625,200.24944531219597,316.2035653738077,0.0,0.0,54.411958,10.204927,5.032206263498921,2.347202408913711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 18:25:54,211806880,246084000,54.411787,10.204846,244.2985913530304,6.728411993509645,220.87147530265295,336.57288394962256,102,0.17994708423326133,54.41049098749957,10.200219034376488,0.2352656587473002,7.96123468581915,211231520,54.411787,10.204846,244.2985913530304,6.728411993509645,202.70598484952836,318.407393496498,0,0.0,54.411787,10.204846,2.847131749460043,4.432632479714715,245546000,54.411787,10.204846,244.2985913530304,6.728411993509645,203.1953639341453,318.8967725811149,0,0.0,54.411787,10.204846,2.8744983801295896,4.439254207682083,211284350,54.411787,10.204846,244.2985913530304,6.728411993509645,212.5774447590377,328.27885340600733,0,0.0,54.411787,10.204846,3.3729233261339093,7.252427608636405,211118300.0,54.411787,10.204846,244.2985913530304,6.728411993509645,200.27500452494525,315.9764131719148,0.0,0.0,54.411787,10.204846,5.029894168466523,2.190857449826033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 18:26:00,211806880,246084000,54.411613,10.204764,244.4130867528734,6.839960309554042,222.13488970407644,337.721802951203,96,0.1714978401727862,54.410382975606055,10.20035008782477,0.22393466522678188,7.957847095178772,211231520,54.411613,10.204764,244.4130867528734,6.839960309554042,202.82069681892824,318.4076100660549,0,0.0,54.411613,10.204764,2.84208909287257,5.261574022431356,245546000,54.411613,10.204764,244.4130867528734,6.839960309554042,203.2870015070403,318.8739147541669,0,0.0,54.411613,10.204764,2.869143628509719,4.518795343397179,211284350,54.411613,10.204764,244.4130867528734,6.839960309554042,212.758495639077,328.3454088862036,0,0.0,54.411613,10.204764,3.3713952483801295,9.28355837233232,211118300.0,54.411613,10.204764,244.4130867528734,6.839960309554042,200.2983554188068,315.8852686659334,0.0,0.0,54.411613,10.204764,5.028215442764579,1.9207400086245083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05 18:26:06,211806880,246084000,54.411437,10.204683,244.93806729091645,6.888964697064399,223.5732612456582,338.63519395474174,90,0.16121382289416847,54.41030292529284,10.200515816915342,0.2128693304535637,7.857559099608426,211231520,54.411437,10.204683,244.93806729091645,6.888964697064399,202.91118533313778,317.97311804222136,0,0.0,54.411437,10.204683,2.836607991360691,4.500875249316539,245546000,54.411437,10.204683,244.93806729091645,6.888964697064399,203.38285035651273,318.4447830655963,0,0.0,54.411437,10.204683,2.8638795896328295,4.625099618690271,211284350,54.411437,10.204683,244.93806729091645,6.888964697064399,212.92435345606708,327.98628616515066,0,0.0,54.411437,10.204683,3.3677419006479483,8.025121374981296,211118300.0,54.411437,10.204683,244.93806729091645,6.888964697064399,200.316706566753,315.3786392758366,138.0,0.25333639308855294,54.409654882603085,10.198134621184838,5.025093952483801,2.1054766852661198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
