t,epoch,status,heading,course,speed,turn,maneuver,roa,inter_speed,inter_turn,traj_id,mmsi,calc_speed,direction,angular_difference,calc_acc,inter_lat,inter_lon,in_waterways,distance_shore
2022-07-05 16:19:18,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.510912701034757,128.0,0,244620045,8.243335082634205,345.8772487927165,0.4766819221376863,10.28641905323795,54.36485,10.15035,1,0.13196
2022-07-05 16:19:24,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.5380795328911,128.0,0,244620045,8.182740775834706,345.5151408527299,0.3621079399865721,-36.35658407969977,54.364792,10.150571,1,0.13014
2022-07-05 16:19:30,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.56113419123998,128.0,0,244620045,8.175632056880023,344.7339285583076,0.7812122944223461,-4.265231372809808,54.364731,10.150791,1,0.127977
2022-07-05 16:19:36,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.579524495577668,128.0,0,244620045,8.15059984048072,344.4282564413837,0.3056721169238585,-15.019329839581983,54.364669,10.15101,1,0.125686
2022-07-05 16:19:42,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.592698265400428,128.0,0,244620045,8.10124595531429,343.8112462216433,0.6170102197404503,-29.61233109985741,54.364605,10.151227,1,0.12314
2022-07-05 16:19:48,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.600103320204533,128.0,0,244620045,8.063256109264366,342.946632864267,0.8646133573762995,-22.7939076299549,54.364538,10.151442,1,0.12023
2022-07-05 16:19:54,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.601231481481482,128.0,0,244620045,8.084488426886598,342.4683631878163,0.4782696764506795,12.739390573339191,54.364469,10.151657,1,0.117104
2022-07-05 16:20:00,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.596627314814814,128.0,0,244620045,8.695392568594103,340.80320867573965,1.66515451207664,366.5424850245036,54.364388,10.151886,1,0.112966
2022-07-05 16:20:06,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.587554398148148,128.0,0,244620045,9.29193550585266,339.075736611646,1.7274720640936607,357.9257623551339,54.364294,10.152128,1,0.107688
2022-07-05 16:20:12,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.575231481481481,128.0,0,244620045,9.54366294190338,337.60131714559355,1.4744194660524386,151.03646163043186,54.364191,10.152374,1,0.102238
2022-07-05 16:20:18,1657037992.0,15,511.0,117.9,5.6,128.0,0,0,5.560877314814815,128.0,0,244620045,9.580230956354814,336.54330948672106,1.0580076588724978,21.94080867086079,54.364083,10.152619,1,0.103239
2022-07-05 16:20:24,1657038052.0,15,511.0,144.9,5.5,128.0,0,0,5.545710648148148,128.0,0,244620045,9.362556130722796,335.24933326871394,1.293976218007117,-130.6048953792111,54.363972,10.152856,1,0.111426
2022-07-05 16:20:30,1657038052.0,15,511.0,144.9,5.5,128.0,0,0,5.530950231481482,128.0,0,244620045,8.814358184971164,334.10393370019915,1.1453995685147902,-328.91876745097903,54.363863,10.153077,1,0.124437
2022-07-05 16:20:36,1657038052.0,15,511.0,144.9,5.5,128.0,0,0,5.517814814814814,128.0,0,244620045,8.014923796856328,332.4355185708255,1.6684151293736704,-479.6606328689016,54.363758,10.153275,1,0.13932
2022-07-05 16:20:42,1657038052.0,15,511.0,144.9,5.5,128.0,0,0,5.507523148148148,128.0,0,244620045,6.94924716912093,330.7882094531976,1.6473091176278558,-639.4059766412386,54.363662,10.153444,1,0.15386
2022-07-05 16:20:48,1657038052.0,15,511.0,144.9,5.5,128.0,0,0,5.501293981481481,128.0,0,244620045,5.641064162012301,327.82646863101667,2.961740822180957,-784.9098042651774,54.363577,10.153577,1,0.166165
2022-07-05 16:20:54,1657038052.0,15,511.0,144.9,5.5,128.0,0,0,5.5,128.0,0,244620045,4.100012123093516,322.8675995014649,4.958869129551715,-924.6312233512712,54.363507,10.153668,1,0.174912
2022-07-05 16:21:00,1657038052.0,15,511.0,144.9,5.5,128.0,0,0,5.5,128.0,0,244620045,2.861211914505642,319.99971860835075,2.8678808931142044,-743.2801251527246,54.363455,10.153729,1,0.180981
2022-07-05 16:21:06,1657038052.0,15,511.0,144.9,5.5,128.0,0,0,5.5,128.0,0,244620045,2.2467358250982703,317.3815337965437,2.6181848118070548,-368.6856536444229,54.363412,10.153775,1,0.185676
2022-07-05 16:21:12,1657038082.0,15,511.0,160.9,5.5,128.0,0,0,5.5,128.0,0,244620045,2.219642599863032,314.14995905036864,3.231574746175056,-16.255935141142963,54.363367,10.153818,1,0.190168
2022-07-05 16:21:18,1657038082.0,15,511.0,160.9,5.5,128.0,0,0,5.5,128.0,0,244620045,2.827513891283705,312.383527973347,1.7664310770216505,364.7227748524039,54.363308,10.153871,1,0.19589
2022-07-05 16:21:24,1657038082.0,15,511.0,160.9,5.5,128.0,0,0,5.4956154336734695,128.0,0,244620045,4.221784814135865,310.9961555555416,1.387372417805409,836.5625537112958,54.363218,10.153948,1,0.204602
2022-07-05 16:21:30,1657038082.0,15,511.0,160.9,5.5,128.0,0,0,5.440369897959184,128.0,0,244620045,8.189179010294497,305.1513274825313,5.844828073010262,2380.436517695179,54.363029,10.154079,1,0.2209
2022-07-05 16:21:36,1657038110.0,15,511.0,165.9,5.2,128.0,0,0,5.349609375,128.0,0,244620045,10.964733340897228,302.13539712946,3.015930353071326,1665.3325983616382,54.362767,10.154241,1,0.243911
2022-07-05 16:21:42,1657038110.0,15,511.0,165.9,5.2,128.0,0,0,5.258848852040816,128.0,0,244620045,11.475874702694297,300.13611481675287,1.9992823127071235,306.6848170782414,54.362487,10.154401,0,0.269655
2022-07-05 16:21:48,1657038110.0,15,511.0,165.9,5.2,128.0,0,0,5.2036033163265305,128.0,0,244620045,9.751319382922205,297.02296289046035,3.1131519262925167,-1034.7331918632565,54.362242,10.154524,0,0.292111
2022-07-05 16:21:54,1657038110.0,15,511.0,165.9,5.2,128.0,0,0,5.19921875,128.0,0,244620045,6.714423647179199,290.7474654508374,6.275497439622939,-1822.1374414458023,54.362065,10.15459,0,0.306873
2022-07-05 16:22:00,1657038110.0,15,511.0,165.9,5.2,128.0,0,0,5.19921875,128.0,0,244620045,5.642653896736029,287.0899316752144,3.657533775623051,-643.0618502659023,54.361913,10.154636,0,0.319039
2022-07-05 16:22:06,1657038141.0,15,511.0,167.0,5.2,128.0,0,0,5.19921875,128.0,0,244620045,5.066456303516753,284.8433634565328,2.2465682186816025,-345.7185559315656,54.361775,10.154672,0,0.329942
2022-07-05 16:22:12,1657038141.0,15,511.0,167.0,5.2,128.0,0,0,5.19921875,128.0,0,244620045,4.817084149431649,285.18578575221954,0.3424222956867879,-149.62329245106235,54.361644,10.154707,0,0.340711
2022-07-05 16:22:18,1657038141.0,15,511.0,167.0,5.2,128.0,0,0,5.19921875,128.0,0,244620045,4.911349556662495,287.5130538452218,2.32726809300226,56.55924433850785,54.361512,10.154748,0,0.352391
2022-07-05 16:22:24,1657038141.0,15,511.0,167.0,5.2,128.0,0,0,5.19921875,128.0,0,244620045,5.300789005261144,291.53775938732275,4.024705542100946,233.6636691591895,54.361373,10.154802,0,0.365944
2022-07-05 16:22:30,1657038141.0,15,511.0,167.0,5.2,128.0,0,0,5.19921875,128.0,0,244620045,5.503780788222054,296.4271175201243,4.889358132801533,121.7950697765456,54.361234,10.15487,0,0.380963
