t,epoch,status,heading,course,speed,turn,maneuver,roa,inter_speed,inter_turn,traj_id,mmsi,calc_speed,direction,angular_difference,calc_acc,inter_lat,inter_lon,in_waterways,distance_shore
2022-07-05 15:29:00,1657034940.0,0,349.0,343.8,5.2,0.0,0,1,5.19921875,0.0,0,211514540,4.614844644403604,97.1830082297081,0.0,0.0,54.402573,10.21409,0,0.262944
2022-07-05 15:29:06,1657034947.0,0,350.0,349.0,5.2,0.0,0,0,5.19921875,0.0,0,211514540,4.614844644403604,97.1830082297081,0.0,0.0,54.402702,10.214074,0,0.276395
2022-07-05 15:29:12,1657034951.0,0,349.0,351.8,5.2,0.0,0,0,5.19921875,-19.84375,0,211514540,5.162110333416229,94.40784034902951,2.7751678806785662,328.35941340757506,54.402847,10.214063,0,0.291268
2022-07-05 15:29:18,1657034961.0,0,343.0,353.8,5.7,-127.0,0,0,5.4032304524687405,-127.0,0,211514540,5.712068521000362,96.16182664511103,1.7539862960815071,329.97491255048,54.403007,10.214046,0,0.307533
2022-07-05 15:29:24,1657034965.0,0,340.0,352.2,5.9,-127.0,0,0,5.839727407782125,-127.0,0,211514540,6.426929986560655,104.95403993140866,8.792213286297624,428.9168793361755,54.403182,10.214,0,0.322413
2022-07-05 15:29:30,1657034970.0,0,338.0,349.0,6.3,-127.0,0,1,6.30078125,-127.0,0,211514540,8.346044021758745,113.4021938240615,8.44815389265284,1151.4684211188542,54.403398,10.213908,0,0.326611
2022-07-05 15:29:36,1657034977.0,0,333.0,345.8,6.5,-127.0,0,0,6.447960805084746,-127.0,0,211514540,6.112627568092107,118.88949378765903,5.487299963597536,-1340.0498721999827,54.403549,10.213826,0,0.332643
2022-07-05 15:29:42,1657034981.0,0,328.0,343.5,6.6,-127.0,0,0,6.622775454704506,-127.0,0,211514540,7.731167004855062,123.96651225405134,5.077018466392303,971.1236620577728,54.40373,10.213706,0,0.343501
2022-07-05 15:29:48,1657034987.0,0,324.0,339.2,6.7,-127.0,0,0,6.69921875,-127.0,0,211514540,8.063810249661518,130.97144200687092,7.004929752819578,199.5859468838736,54.403902,10.213559,0,0.358645
2022-07-05 15:29:54,1657034994.0,0,315.0,334.5,6.7,-127.0,0,1,6.69921875,-127.0,0,211514540,9.898185524683123,137.79304103139032,6.821599024519401,1100.625165012964,54.40409,10.213355,0,0.381049
