t,mmsi,mmsi2_0,lat_0,lon_0,cog_0,sog_0,abs_bearing_0,rel_bearing_0,tcpa_0,dcpa_0,c_lat_0,c_lon_0,ships_distance_0,rel_speed_0,mmsi2_1,lat_1,lon_1,cog_1,sog_1,abs_bearing_1,rel_bearing_1,tcpa_1,dcpa_1,c_lat_1,c_lon_1,ships_distance_1,rel_speed_1,mmsi2_2,lat_2,lon_2,cog_2,sog_2,abs_bearing_2,rel_bearing_2,tcpa_2,dcpa_2,c_lat_2,c_lon_2,ships_distance_2,rel_speed_2,mmsi2_3,lat_3,lon_3,cog_3,sog_3,abs_bearing_3,rel_bearing_3,tcpa_3,dcpa_3,c_lat_3,c_lon_3,ships_distance_3,rel_speed_3,mmsi2_4,lat_4,lon_4,cog_4,sog_4,abs_bearing_4,rel_bearing_4,tcpa_4,dcpa_4,c_lat_4,c_lon_4,ships_distance_4,rel_speed_4,mmsi2_5,lat_5,lon_5,cog_5,sog_5,abs_bearing_5,rel_bearing_5,tcpa_5,dcpa_5,c_lat_5,c_lon_5,ships_distance_5,rel_speed_5,mmsi2_6,lat_6,lon_6,cog_6,sog_6,abs_bearing_6,rel_bearing_6,tcpa_6,dcpa_6,c_lat_6,c_lon_6,ships_distance_6,rel_speed_6,mmsi2_7,lat_7,lon_7,cog_7,sog_7,abs_bearing_7,rel_bearing_7,tcpa_7,dcpa_7,c_lat_7,c_lon_7,ships_distance_7,rel_speed_7,mmsi2_8,lat_8,lon_8,cog_8,sog_8,abs_bearing_8,rel_bearing_8,tcpa_8,dcpa_8,c_lat_8,c_lon_8,ships_distance_8,rel_speed_8
2022-07-05 17:55:24,211231520,211493610,54.359984,10.14774,148.79427770579514,1.0912160199682572,178.2865946242166,29.492316918421466,612,0.18399352051835854,54.35736725663455,10.150460246174132,1.9268126349892007,4.052605995633221,246084000,54.359984,10.14774,148.79427770579514,1.0912160199682572,25.862123151173762,237.06784544537862,0,0.0,54.359984,10.14774,3.7688239740820735,2.3248157316510127,211848130,54.359984,10.14774,148.79427770579514,1.0912160199682572,15.141217586990365,226.34693988119523,252,0.07469060475161987,54.358921757643685,10.148844279239867,4.147868250539957,7.244084725397374,211284350,54.359984,10.14774,148.79427770579514,1.0912160199682572,31.504253604634187,242.70997589883905,294,0.0874427645788337,54.35874039919261,10.149032811866231,4.163830993520518,10.590297513838106,211514540,54.359984,10.14774,148.79427770579514,1.0912160199682572,14.120180901626554,225.32590319583142,0,0.0,54.359984,10.14774,4.7161873650108,16.852959945150968,261032070.0,54.359984,10.14774,148.79427770579514,1.0912160199682572,20.32397284393778,231.52969513814264,1008.0,0.3042273218142548,54.35565730552437,10.152237739183063,5.568095032397409,5.668460274492611,211806880.0,54.359984,10.14774,148.79427770579514,1.0912160199682572,27.601887448099546,238.8076097423044,0.0,0.0,54.359984,10.14774,5.610232181425486,8.328639933426606,245546000.0,54.359984,10.14774,148.79427770579514,1.0912160199682572,29.511503257361653,240.71722555156651,546.0,0.16395464362850973,54.35765224848622,10.150163990146845,6.006929265658748,16.244595430211707,,,,,,,,,,,,,
2022-07-05 17:55:30,211231520,211493610,54.36,10.147714,148.79427770579514,1.0912160199682572,178.15297129198848,29.35869358619334,1404,0.4244605831533477,54.353963354414255,10.153989160661714,1.9247872570194384,4.696971886973668,246084000,54.36,10.147714,148.79427770579514,1.0912160199682572,25.90174907204147,237.10747136624633,0,0.0,54.36,10.147714,3.766348272138229,2.369269921986023,211848130,54.36,10.147714,148.79427770579514,1.0912160199682572,15.04150048534035,226.2472227795452,222,0.06558207343412527,54.359067299394496,10.148683612946252,4.147038876889849,7.3728469604565205,211284350,54.36,10.147714,148.79427770579514,1.0912160199682572,31.567024447564336,242.7727467417692,318,0.09472948164146869,54.35865276579204,10.149114544967368,4.149062095032398,9.671833013795014,211514540,54.36,10.147714,148.79427770579514,1.0912160199682572,14.312190276866772,225.51791257107163,0,0.0,54.36,10.147714,4.728886069114471,19.531495890023646,261032070.0,54.36,10.147714,148.79427770579514,1.0912160199682572,20.312548892119253,231.5182711863241,1110.0,0.3351965442764579,54.35523286357178,10.152669568240167,5.5610156587473005,5.138713117850849,211806880.0,54.36,10.147714,148.79427770579514,1.0912160199682572,27.606593276969306,238.81231557117417,0.0,0.0,54.36,10.147714,5.6218752699784025,8.42925708138074,245546000.0,54.36,10.147714,148.79427770579514,1.0912160199682572,29.52969424509132,240.73541653929618,588.0,0.17670680345572357,54.35748689003516,10.150326517964915,5.985200863930886,14.938078302610533,,,,,,,,,,,,,
2022-07-05 17:55:36,211231520,211493610,54.360006,10.147712,108.707672700888,0.2247576988200841,178.04338119574675,69.33570849485875,282,0.01728509719222462,54.35991394878127,10.148178514245862,1.9219627429805615,4.049052823792372,246084000,54.360006,10.147712,108.707672700888,0.2247576988200841,25.93159035551008,277.2239176546221,0,0.0,54.360006,10.147712,3.7641609071274296,1.860927328112678,211284350,54.360006,10.147712,108.707672700888,0.2247576988200841,31.6153259539567,282.9076532530687,282,0.01728509719222462,54.35991394878127,10.148178514245862,4.134975701943845,9.328960069243701,211848130,54.360006,10.147712,108.707672700888,0.2247576988200841,14.918256761851296,266.2105840609633,186,0.01127267818574514,54.35994596659647,10.148016248539777,4.146203563714903,9.073539178869934,211514540,54.360006,10.147712,108.707672700888,0.2247576988200841,14.48832625479082,265.7806535539028,0,0.0,54.360006,10.147712,4.742188984881209,18.63080579992696,261032070.0,54.360006,10.147712,108.707672700888,0.2247576988200841,20.29010617129245,271.58243347040445,282.0,0.01728509719222462,54.35991394878127,10.148178514245862,5.554695464362851,5.301830879322335,211806880.0,54.360006,10.147712,108.707672700888,0.2247576988200841,27.601504584126474,278.8938318832385,0.0,0.0,54.360006,10.147712,5.63369222462203,8.15863263889998,245546000.0,54.360006,10.147712,108.707672700888,0.2247576988200841,29.54229090126961,280.8346182003816,282.0,0.01728509719222462,54.35991394878127,10.148178514245862,5.958710583153347,18.570450462417906,,,,,,,,,,,,,
2022-07-05 17:55:42,211231520,211493610,54.360009,10.147712,89.99999975316217,0.1065124589133728,177.95449515315147,87.9544953999893,300,0.00872732181425486,54.36000899999528,10.147960635312472,1.9191798056155507,3.3971136678559617,246084000,54.360009,10.147712,89.99999975316217,0.1065124589133728,25.95570953915029,295.9557097859881,300,0.00872732181425486,54.36000899999528,10.147960635312472,3.761790496760259,1.714359601038753,211284350,54.360009,10.147712,89.99999975316217,0.1065124589133728,31.67799127897797,301.6779915258158,252,0.007302915766738661,54.36000899999604,10.14792004179207,4.116994060475162,11.907345033334888,211848130,54.360009,10.147712,89.99999975316217,0.1065124589133728,14.781091098683305,284.78109134552113,162,0.0046312095032397405,54.360008999997504,10.147843928941311,4.145619870410367,10.030707498194287,211514540,54.360009,10.147712,89.99999975316217,0.1065124589133728,14.727255322417818,284.72725556925565,0,0.0,54.360009,10.147712,4.7604703023758095,25.458678671228515,261032070.0,54.360009,10.147712,89.99999975316217,0.1065124589133728,20.266783818051863,290.2667840648897,300.0,0.00872732181425486,54.36000899999528,10.147960635312472,5.548795356371491,5.103537404073402,211806880.0,54.360009,10.147712,89.99999975316217,0.1065124589133728,27.594959255065532,297.59495950190336,0.0,0.0,54.360009,10.147712,5.645637149028078,8.195944380051014,245546000.0,54.360009,10.147712,89.99999975316217,0.1065124589133728,29.5543252478642,299.554325494702,300.0,0.00872732181425486,54.36000899999528,10.147960635312472,5.934185205183586,17.183065656217593,,,,,,,,,,,,,
2022-07-05 17:55:48,211231520,211493610,54.360013,10.147718,33.27440162541677,0.2576749681340698,177.8875245948609,144.61312296944413,66,0.00430183585313175,54.360072801206854,10.147785349411365,1.9164946004319654,2.728628287517639,246084000,54.360013,10.147718,33.27440162541677,0.2576749681340698,25.97802668369991,352.70362505828314,66,0.00430183585313175,54.360072801206854,10.147785349411365,3.7590275377969764,1.8481613767946665,211284350,54.360013,10.147718,33.27440162541677,0.2576749681340698,31.73326561177703,358.45886398636026,66,0.00430183585313175,54.360072801206854,10.147785349411365,4.099867710583153,11.400385007042058,211848130,54.360013,10.147718,33.27440162541677,0.2576749681340698,14.628049556555084,341.3536479311383,66,0.00430183585313175,54.360072801206854,10.147785349411365,4.145008639308855,11.18669879108794,211514540,54.360013,10.147718,33.27440162541677,0.2576749681340698,14.991923959248425,341.71752233383165,0,0.0,54.360013,10.147718,4.781753239740821,28.758225430347274,261032070.0,54.360013,10.147718,33.27440162541677,0.2576749681340698,20.242947369825742,346.96854574440897,66.0,0.00430183585313175,54.360072801206854,10.147785349411365,5.542815334773219,5.18319683626153,211806880.0,54.360013,10.147718,33.27440162541677,0.2576749681340698,27.586837447062408,354.31243582164564,0.0,0.0,54.360013,10.147718,5.657431425485961,8.035730794492487,245546000.0,54.360013,10.147718,33.27440162541677,0.2576749681340698,29.56257273941145,356.2881711139947,66.0,0.00430183585313175,54.360072801206854,10.147785349411365,5.911852591792656,15.754271980774961,,,,,,,,,,,,,
2022-07-05 17:55:54,211231520,211493610,54.360016,10.14772,55.89173812326965,0.1283795596043454,177.8200243335557,121.92828621028605,144,0.004934125269978402,54.36006196249789,10.147836468890736,1.9135118790496761,2.8384533234531593,246084000,54.360016,10.14772,55.89173812326965,0.1283795596043454,26.00758307097186,330.1158449477022,144,0.004934125269978402,54.36006196249789,10.147836468890736,3.756495680345572,1.9548619924594905,211284350,54.360016,10.14772,55.89173812326965,0.1283795596043454,31.7750694389062,335.88333131563655,144,0.004934125269978402,54.36006196249789,10.147836468890736,4.085806695464362,9.412826626243179,211848130,54.360016,10.14772,55.89173812326965,0.1283795596043454,14.457869217330199,318.56613109406055,114,0.003861231101511879,54.36005197065052,10.147811149555578,4.144169006479482,12.472315633191707,211514540,54.360016,10.14772,55.89173812326965,0.1283795596043454,15.26311670335565,319.371378580086,0,0.0,54.360016,10.14772,4.804400647948164,29.96739057176774,261032070.0,54.360016,10.14772,55.89173812326965,0.1283795596043454,20.223106395104082,324.33136827183444,144.0,0.004934125269978402,54.36006196249789,10.147836468890736,5.536787796976242,4.950003769452506,211806880.0,54.360016,10.14772,55.89173812326965,0.1283795596043454,27.578185995391948,331.6864478721223,0.0,0.0,54.360016,10.14772,5.669332073434126,8.09230985379647,245546000.0,54.360016,10.14772,55.89173812326965,0.1283795596043454,29.571136640515306,333.67939851724566,144.0,0.004934125269978402,54.36006196249789,10.147836468890736,5.8862159827213825,18.12353988344549,,,,,,,,,,,,,
2022-07-05 17:56:00,211231520,211493610,54.360018,10.147719,116.92810589182238,0.0795379232858732,177.74774885829936,60.81964296647698,1230,0.02712041036717063,54.359814021606994,10.148408172379455,1.9102365010799138,3.062861713782377,246084000,54.360018,10.147719,116.92810589182238,0.0795379232858732,26.030916356492412,269.10281046467003,1128,0.024860691144708423,54.3598310198064,10.148350741478533,3.754165766738661,1.6717923229093976,211284350,54.360018,10.147719,116.92810589182238,0.0795379232858732,31.822908907222086,274.8948030153997,282,0.0061155507559395245,54.359972004872134,10.147874401913791,4.070161987041036,10.461233654103284,211848130,54.360018,10.147719,116.92810589182238,0.0795379232858732,14.28970565161967,257.3615997597973,108,0.002260259179265659,54.36000100180059,10.147776431162324,4.143342872570194,12.325439886656723,211514540,54.360018,10.147719,116.92810589182238,0.0795379232858732,15.528710245410707,258.6006043535883,0,0.0,54.360018,10.147719,4.8282057235421165,30.20832874401553,261032070.0,54.360018,10.147719,116.92810589182238,0.0795379232858732,20.20748899248929,263.2793831006669,1218.0,0.02685475161987041,54.35981602139515,10.14840141580411,5.530657127429806,4.757397415218936,211806880.0,54.360018,10.147719,116.92810589182238,0.0795379232858732,27.569570937017033,270.64146504519465,0.0,0.0,54.360018,10.147719,5.6812327213822895,8.092723307086507,245546000.0,54.360018,10.147719,116.92810589182238,0.0795379232858732,29.576244283495726,272.64813839167334,468.0,0.010236501079913606,54.35994100815556,10.14797912919234,5.860788876889849,18.11250845875793,,,,,,,,,,,,,
2022-07-05 17:56:06,211231520,211493610,54.36002,10.147718,116.92810577415344,0.0795379235129545,177.66754953675263,60.739443762599194,1212,0.0267219222462203,54.35981902128948,10.14839703755202,1.9067343412526998,3.346299362491506,246084000,54.36002,10.147718,116.92810577415344,0.0795379235129545,26.047126279491067,269.11902050533763,1146,0.025259179265658748,54.35983002012438,10.148359876378883,3.7520761339092874,1.3848441682767838,211284350,54.36002,10.147718,116.92810577415344,0.0795379235129545,31.876125461250467,274.94801968709703,246,0.005317494600431966,54.359980004236704,10.14785313211592,4.052757559395249,11.645810700627022,211848130,54.36002,10.147718,116.92810577415344,0.0795379235129545,14.136186049324124,257.2080802751707,102,0.0021268898488120947,54.36000400169467,10.147772052862155,4.142634989200864,11.245182859066395,211514540,54.36002,10.147718,116.92810577415344,0.0795379235129545,15.791332671348414,258.863226897195,0,0.0,54.36002,10.147718,4.852605831533477,30.405046891938714,261032070.0,54.36002,10.147718,116.92810577415344,0.0795379235129545,20.194528812684723,263.2664230385313,1212.0,0.0267219222462203,54.35981902128948,10.14839703755202,5.524430885529158,4.668184587133229,211806880.0,54.36002,10.147718,116.92810577415344,0.0795379235129545,27.55883682134089,270.63073104718745,0.0,0.0,54.36002,10.147718,5.693089632829374,7.99389500116055,245546000.0,54.36002,10.147718,116.92810577415344,0.0795379235129545,29.58139971374908,272.65329393959564,420.0,0.009173326133909287,54.35995100730829,10.147951102817691,5.832457343412527,20.205068687653345,,,,,,,,,,,,,
2022-07-05 17:56:12,211231520,211493610,54.36002,10.147717,180.0,0.0358343688040229,177.57142042203554,357.57142042203554,1212,0.012017278617710583,54.359820059874195,10.147717000000002,1.9025961123110149,3.981471420017288,246084000,54.36002,10.147717,180.0,0.0358343688040229,26.068992990024697,206.0689929900247,1002,0.009924406047516198,54.35985487531897,10.147717000000002,3.7496317494600433,1.6822722931716576,211284350,54.36002,10.147717,180.0,0.0358343688040229,31.928450735725676,211.92845073572568,258,0.002510799136069114,54.35997822146628,10.147717000000002,4.036502699784017,10.851000497357848,211848130,54.36002,10.147717,180.0,0.0358343688040229,13.987857457497853,193.98785745749785,96,0.0008968682505399568,54.3600050790951,10.147717000000002,4.14217494600432,10.826028333271498,211514540,54.36002,10.147717,180.0,0.0358343688040229,16.0471841393084,196.0471841393084,0,0.0,54.36002,10.147717,4.877568034557235,30.313338195594174,261032070.0,54.36002,10.147717,180.0,0.0358343688040229,20.182348198362774,200.18234819836277,1212.0,0.012017278617710583,54.359820059874195,10.147717000000002,5.518296976241901,4.566111406298904,211806880.0,54.36002,10.147717,180.0,0.0358343688040229,27.54509454154055,207.54509454154055,0.0,0.0,54.36002,10.147717,5.704923326133909,7.8889847107027435,245546000.0,54.36002,10.147717,180.0,0.0358343688040229,29.586323702807306,209.5863237028073,462.0,0.004543736501079914,54.359944400748475,10.147717000000002,5.807291036717063,17.93579019077153,,,,,,,,,,,,,
2022-07-05 17:56:18,211231520,211493610,54.360014,10.147709,216.43725104932895,0.3571584275454103,177.44458725179788,321.00733620246893,876,0.08647354211663066,54.358857452857215,10.146243677543268,1.8964622030237581,5.4776959853553056,246084000,54.360014,10.147709,216.43725104932895,0.3571584275454103,26.09633742958988,169.65908638026093,408,0.03995680345572354,54.35947959545817,10.147031914841339,3.7474962203023754,1.7380205795340167,211284350,54.360014,10.147709,216.43725104932895,0.3571584275454103,31.982072045756013,175.54482099642706,264,0.02564362850971922,54.35967102395077,10.14727445179617,4.021210583153348,10.163371741457338,211848130,54.360014,10.147709,216.43725104932895,0.3571584275454103,13.84308226777182,157.40583121844287,96,0.008945464362850972,54.35989435719213,10.147557413005215,4.142301835853131,10.472302932282046,211514540,54.360014,10.147709,216.43725104932895,0.3571584275454103,16.30080621464174,159.8635551653128,0,0.0,54.360014,10.147709,4.903137688984881,30.58160553813732,261032070.0,54.360014,10.147709,216.43725104932895,0.3571584275454103,20.170340312364203,163.73308926303525,1212.0,0.11987041036717062,54.3584107863745,10.145677770947207,5.512618790496759,4.265234389244021,211806880.0,54.360014,10.147709,216.43725104932895,0.3571584275454103,27.529427076018578,171.09217602668963,0.0,0.0,54.360014,10.147709,5.717060475161988,8.047689751223466,245546000.0,54.360014,10.147709,216.43725104932895,0.3571584275454103,29.59076245775549,173.15351140842654,528.0,0.051883909287257016,54.35932007171432,10.146829801575631,5.785829373650108,15.287535128478929,,,,,,,,,,,,,
