t,mmsi,mmsi2_0,lat_0,lon_0,cog_0,sog_0,abs_bearing_0,rel_bearing_0,tcpa_0,dcpa_0,c_lat_0,c_lon_0,ships_distance_0,rel_speed_0,mmsi2_1,lat_1,lon_1,cog_1,sog_1,abs_bearing_1,rel_bearing_1,tcpa_1,dcpa_1,c_lat_1,c_lon_1,ships_distance_1,rel_speed_1,mmsi2_2,lat_2,lon_2,cog_2,sog_2,abs_bearing_2,rel_bearing_2,tcpa_2,dcpa_2,c_lat_2,c_lon_2,ships_distance_2,rel_speed_2,mmsi2_3,lat_3,lon_3,cog_3,sog_3,abs_bearing_3,rel_bearing_3,tcpa_3,dcpa_3,c_lat_3,c_lon_3,ships_distance_3,rel_speed_3
2022-07-05 21:41:54,305305000,304829000,54.448525,10.233686,224.74747119656195,13.970920224657304,181.68521374284026,316.9377425462783,72,0.25669546436285096,54.44549519969936,10.228521049054132,0.7875269978401728,29.206203463065574,275114000.0,54.448525,10.233686,224.74747119656195,13.970920224657304,202.09839885533106,337.35092765876914,672.0,2.590287796976242,54.41795156065412,10.181584467678158,1.4260318574514042,6.7392878075068925,246084000.0,54.448525,10.233686,224.74747119656195,13.970920224657304,204.05033657486152,339.30286537829954,444.0,1.703523758099352,54.42841814348041,10.199416651865487,5.314076133909287,7.3323122137824015,,,,,,,,,,,,,
2022-07-05 21:42:00,305305000,304829000,54.448247,10.23341,224.74747119656195,13.970920224657304,180.2160857009686,315.4686145044067,66,0.23335961123110152,54.44549263609041,10.228714606135032,0.7525113390928726,29.179176943631443,275114000.0,54.448247,10.23341,224.74747119656195,13.970920224657304,202.03521283338273,337.2877416368208,666.0,2.5669519438444923,54.41794899704516,10.181778027695879,1.4170313174946005,6.739286286720718,246084000.0,54.448247,10.23341,224.74747119656195,13.970920224657304,204.01536927345956,339.2678980768976,456.0,1.750195464362851,54.42758927070047,10.198202241257693,5.305595572354211,7.579354311955104,,,,,,,,,,,,,
2022-07-05 21:42:06,305305000,304829000,54.447968,10.233133,224.74675221934345,14.021363773884463,178.59941536066208,313.85266314131866,60,0.21078185745140388,54.44548009106562,10.228891956448322,0.7181609071274297,29.180573318043383,275114000.0,54.447968,10.233133,224.74675221934345,14.021363773884463,201.9698957404221,337.22314352107867,660.0,2.5527996760259177,54.41783665851249,10.18178657700822,1.408018898488121,6.765629051688306,246084000.0,54.447968,10.233133,224.74675221934345,14.021363773884463,203.98109512104696,339.2343429017035,468.0,1.8033547516198705,54.4266825569193,10.19685684095368,5.296689524838013,7.798370381705266,,,,,,,,,,,,,
2022-07-05 21:42:12,305305000,304829000,54.447691,10.232854,224.3346320394054,14.022330933243293,176.80896685947118,312.4743348200658,60,0.21079319654427647,54.44518524525851,10.228643581059131,0.6848083153347732,29.16099686822373,275114000.0,54.447691,10.232854,224.3346320394054,14.022330933243293,201.90098198819237,337.566349948787,660.0,2.5529341252699784,54.41734352595933,10.181878473086849,1.3991760259179264,6.694028230407796,246084000.0,54.447691,10.232854,224.3346320394054,14.022330933243293,203.94491704794973,339.61028500854434,426.0,1.6395000000000002,54.42820179647501,10.200113085465748,5.28876403887689,7.298090209635091,,,,,,,,,,,,,
2022-07-05 21:42:18,305305000,304829000,54.447414,10.232572,224.028386395923,14.099187819927453,174.82674979603792,310.7983634001149,54,0.1883963282937365,54.44516279094232,10.228829546029937,0.6520226781857452,29.312290719764583,275114000.0,54.447414,10.232572,224.028386395923,14.099187819927453,201.82716805481815,337.7987816588951,648.0,2.519796436285097,54.41730407890304,10.182533694653708,1.3902958963282936,6.774406001407979,246084000.0,54.447414,10.232572,224.028386395923,14.099187819927453,203.9082816833395,339.8798952874165,426.0,1.6484659827213821,54.42771592076552,10.199832500983273,5.280826673866091,7.329495256551961,,,,,,,,,,,,,
2022-07-05 21:42:24,305305000,304829000,54.447137,10.232291,224.13012798563216,14.073532148126974,172.642609827755,308.51248184212284,48,0.1645475161987041,54.44517415454457,10.229016322679485,0.6199703023758099,29.30993965525548,275114000.0,54.447137,10.232291,224.13012798563216,14.073532148126974,201.75553092233793,337.62540293670577,648.0,2.515221382289417,54.41713350523141,10.182252345794536,1.3815129589632829,6.670373389839082,246084000.0,54.447137,10.232291,224.13012798563216,14.073532148126974,203.87426738465996,339.7441393990278,624.0,2.4211943844492443,54.41825513120215,10.184122290556438,5.27214848812095,7.620206130730296,,,,,,,,,,,,,
2022-07-05 21:42:30,305305000,304829000,54.44686,10.23201,224.1301533342231,14.073538065417212,170.22294652159087,306.09279318736776,42,0.1410404967602592,54.44517756105293,10.229203140641681,0.5890410367170626,29.286452612904007,275114000.0,54.44686,10.23201,224.1301533342231,14.073538065417212,201.68433531503533,337.55418198081225,642.0,2.491715442764579,54.41713691198444,10.182439118879344,1.3727451403887687,6.643660418069559,246084000.0,54.44686,10.23201,224.1301533342231,14.073538065417212,203.84031877323835,339.7101654390152,630.0,2.444701943844492,54.417697724964896,10.183374085761997,5.2633471922246216,7.687670273011212,,,,,,,,,,,,,
2022-07-05 21:42:36,305305000,304829000,54.446583,10.231729,224.1301786832485,14.073543982938135,167.54186865285033,303.41168996960187,36,0.11753401727861772,54.44518096755635,10.229389956298277,0.5593353131749461,29.2618562345119,275114000.0,54.446583,10.231729,224.1301786832485,14.073543982938135,201.61359200782508,337.4834133245766,636.0,2.468209503239741,54.417140318732514,10.182625889657405,1.3639924406047517,6.617033874759393,246084000.0,54.446583,10.231729,224.1301786832485,14.073543982938135,203.80687030446958,339.6766916212211,636.0,2.468209503239741,54.417140318732514,10.182625889657405,5.254507559395249,7.675680007849229,,,,,,,,,,,,,
2022-07-05 21:42:42,305305000,304829000,54.446306,10.231448,224.13020403074248,14.073549899717886,164.5584398465711,300.42823581582866,36,0.11753401727861772,54.44490396756861,10.229108970069953,0.530950323974082,29.338144406098262,275114000.0,54.446306,10.231448,224.13020403074248,14.073549899717886,201.5451357933392,337.4149317625967,630.0,2.4447041036717065,54.417143725475235,10.182812658133882,1.3553358531317496,6.513638483555078,246084000.0,54.446306,10.231448,224.13020403074248,14.073549899717886,203.77321452971853,339.6430104989761,606.0,2.3506771058315334,54.41826535141662,10.184682608279028,5.246125269978401,7.393398197625205,,,,,,,,,,,,,
2022-07-05 21:42:48,305305000,304829000,54.446028,10.231167,224.2334230594476,14.098376193082984,161.25952625169793,297.02610319225033,30,0.09419330453563715,54.44490636090268,10.229289003409137,0.5041306695464363,29.26063486767493,275114000.0,54.446028,10.231167,224.2334230594476,14.098376193082984,201.47579885402018,337.2423757945726,624.0,2.4254784017278617,54.41714579329199,10.182824969227783,1.3466819654427644,6.513641919947702,246084000.0,54.446028,10.231167,224.2334230594476,14.098376193082984,203.73900822325402,339.5055851638064,576.0,2.2370917926565874,54.419389071479316,10.186578469763683,5.238186285097193,7.144276412939636,,,,,,,,,,,,,
